id,title,budget,revenue,genres,original_language,release_date,popularity,vote_average,vote_count,runtime
401981,"Red Sparrow",69000000,151572634,Mystery;Thriller,en,2018-02-28,38.102,6.5,5068,140
332562,"A Star Is Born",36000000,433888866,Drama;Romance;Music,en,2018-10-03,43.588,7.5,10064,136
329996,"Dumbo",170000000,215832199,Family;Fantasy;Adventure,en,2019-03-27,30.128,6.7,3695,112
749274,"Cry Macho",33000000,11780000,Western;Drama,en,2021-09-16,43.664,6.2,518,104
413518,"Pinocchio",12400000,17133446,Fantasy;Adventure;Drama,it,2019-12-19,45.649,6.6,1218,125
424139,"Halloween",10000000,253688035,Horror;Thriller,en,2018-10-18,45.262,6.5,3713,106
491418,"Instant Family",48000000,14700000,Comedy;Drama,en,2018-11-13,95.168,7.6,2199,118
559907,"The Green Knight",15000000,18192220,Adventure;Drama;Fantasy,en,2021-07-29,43.676,6.5,932,130
505058,"Unfriended: Dark Web",1000000,9602624,Horror;Thriller;Mystery,en,2018-07-19,36.122,6.3,1159,93
300668,"Annihilation",40000000,43070915,Science Fiction;Horror,en,2018-02-22,46.882,6.4,6965,115
438650,"Cold Pursuit",60000000,76419755,Action;Crime;Thriller,en,2019-02-07,37.961,5.7,1971,119
419478,"Midnight Sun",2800000,27365467,Romance;Drama,en,2018-03-22,40.428,7.8,2918,91
443791,"Underwater",50000000,40882928,Action;Horror;Science Fiction;Thriller,en,2020-01-08,39.421,6.3,2343,95
484641,"Anna",34000000,31626978,Thriller;Action,fr,2019-06-19,37.081,6.7,2021,119
590223,"Love and Monsters",30000000,1070714,Comedy;Action;Adventure;Fantasy,en,2020-10-16,44.9,7.4,2892,109
467938,"Revenge",2900000,692079,Action;Thriller;Horror,fr,2018-02-07,31.936,6.4,1354,109
470878,"I Can Only Imagine",7000000,86026201,Music;Drama,en,2018-02-14,38.791,7.5,356,110
439015,"Slender Man",10000000,11817275,Horror;Mystery;Thriller,en,2018-08-10,38.293,4.4,1586,93
474395,"Teen Titans Go! To the Movies",10000000,28646544,Animation;Action;Comedy;Science Fiction,en,2018-07-27,36.876,7.4,910,85
660120,"The Worst Person in the World",5000000,5000000,Comedy;Drama;Romance,no,2021-10-13,35.619,7.7,187,128
426543,"The Nutcracker and the Four Realms",120000000,59522646,Fantasy;Adventure;Family,en,2018-10-26,30.475,6.1,1801,99
460019,"Truth or Dare",3500000,95330493,Thriller;Horror,en,2018-04-12,31.632,6.0,3394,100
417384,"Scary Stories to Tell in the Dark",25000000,95438172,Horror;Thriller,en,2019-08-08,45.874,6.5,2064,108
440471,"Escape Plan 2: Hades",20000000,17500000,Action,en,2018-06-05,42.488,5.1,1111,96
445651,"The Darkest Minds",34000000,41142379,Science Fiction;Action;Drama;Romance;Adventure;Thriller,en,2018-07-25,43.506,7.0,2211,105
449176,"Love, Simon",17000000,66316289,Comedy;Drama;Romance,en,2018-02-16,39.279,8.1,5258,110
551804,"Freaky",5000000,15104310,Comedy;Fantasy;Horror;Thriller,en,2020-11-12,35.329,6.7,952,102
